is_canceled,hotel,count,avg(lead_time),avg(adr)
1,Resort Hotel,11122,128.68054306779356,105.7870104297791
0,City Hotel,46228,80.70273427360041,105.74594834299587
0,Resort Hotel,28938,78.83761835648627,90.78897055774631
1,City Hotel,33102,150.28122167844845,104.68792036734949
